PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Job_Title,AI_Impact_Level,Industry,Location
-0.5475301483972783,0.556014433814436,-0.943983940593069,-0.9128852520067353,0.3757966789546859,-0.9242459175925658,1.4868568943824723,1.0810635835877724,0.6738406011808191,research scientist (life sciences),moderate,finance,canada
-0.2368295152684755,0.029511371674645997,1.0737627872221553,-0.8278257479817412,1.0957535484971355,1.8793126896631314,1.7651250933006168,0.6639229622653038,-0.949808001212654,tefl teacher,moderate,entertainment,usa
-0.5093388926063007,0.1362258981158109,1.610656763647968,0.33217290579312553,0.16862151962914576,-0.8996845475359111,0.6313119518563853,0.3046739246745911,0.42524350058156996,"editor, magazine features",low,entertainment,india
0.6179306977737399,0.6257412824731665,0.29912918459553844,-0.06792539047573791,0.39840329728619917,0.038036840895845775,0.13790731922696986,0.9914996924847418,-1.0975006253780462,"journalist, magazine",low,entertainment,china
-1.3386644488087052,0.11444081788304813,-0.002308191432963088,0.841816022157695,-0.40841798098587917,0.4366035782865611,-1.197528398176884,-1.3107126575366042,1.8945573153540476,"engineer, land",low,transportation,australia
0.8652003426735324,-0.5539526469807123,-1.132537509190484,0.7538169771814596,-0.030958944781088533,0.11515772395552203,0.26170546737832706,1.0141141865547125,0.3802673780605102,software engineer,low,retail,china
2.293802636884188,-1.1049278998107093,0.9259461310523548,1.3011763308086082,0.03792475702679282,1.3374167692867536,-0.6472443528015935,0.08789478068375838,-0.6196926181439145,"journalist, magazine",high,retail,usa
1.0501425346647228,-0.20416067958209347,-0.41749152392127853,-0.6140319129365085,1.438957073350187,-0.17171635025164161,1.0163776451240096,1.3427430808384027,-0.6366351876801025,administrator,moderate,finance,uk
-0.9537641632789515,-0.4475801181152446,0.25660433245540204,-0.20376562724998676,-1.0750125319927042,-0.9519745988422778,-0.999350318339733,0.35118711326421403,-1.7569376944597708,telecommunications researcher,high,education,canada
-0.9099662378064993,0.8418206472335743,-1.3282400769166391,0.1965611114557099,-1.8754982370493105,-0.5300553893239897,-0.31843053488658923,1.1854996092214718,0.677584547291982,"nurse, adult",low,manufacturing,germany
-0.48440864558867647,0.7248957963902317,-0.49754216192410067,2.1004554582668997,0.11091825169436056,-1.3181824885996603,0.8047963195334756,0.8971976569618123,0.7283948912429068,music tutor,low,it,canada
